"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"RegulatedItemModel","RegulatedItemModel","","","",0,*,"","","","null {[]} {[]}
","Regulated Item","Authorised product or item for a given region or country","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"RegulatedItemModel.number","RegulatedItemModel.number","","","",1,1,"","","","Identifier {[]} {[]}
","The identifier of the authorisation for the product","The identifier of the authorisation for the product","","","","","","","","","",,,,,"",,,,"RegulatedItemModel.number",1,1,"",""
"RegulatedItemModel.region","RegulatedItemModel.region","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The country or region where the authorisation is issued","The country or region where the authorisation is issued","","","","","","","","","",,,,,"",,,,"RegulatedItemModel.region",1,1,"",""
"RegulatedItemModel.holder","RegulatedItemModel.holder","","","",1,1,"","","","BackboneElement {[]} {[]}
","The organisation responsible for the product i.e. the grantee of the authorisation","The organisation responsible for the product i.e. the grantee of the authorisation","","","","","","","","","",,,,,"",,,,"RegulatedItemModel.holder",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RegulatedItemModel.holder.id","RegulatedItemModel.holder.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"RegulatedItemModel.holder.extension","RegulatedItemModel.holder.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"RegulatedItemModel.holder.modifierExtension","RegulatedItemModel.holder.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"RegulatedItemModel.holder.identifier","RegulatedItemModel.holder.identifier","","","",1,1,"","","","Identifier {[]} {[]}
","Identifier of the organisation","Identifier of the organisation","","","","","","","","","",,,,,"",,,,"RegulatedItemModel.holder.identifier",1,1,"",""
"RegulatedItemModel.holder.name","RegulatedItemModel.holder.name","","","",1,1,"","","","string {[]} {[]}
","The official name of the organisation","The official name of the organisation","","","","","","","","","",,,,,"",,,,"RegulatedItemModel.holder.name",1,1,"",""
"RegulatedItemModel.associatedTradeItem","RegulatedItemModel.associatedTradeItem","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://smart.who.int/pcmt/StructureDefinition/TradeItemModel]]}
","Associated Trade Item","Associated Trade Item","","","","","","","","","",,,,,"",,,,"RegulatedItemModel.associatedTradeItem",0,*,"",""
"RegulatedItemModel.validityPeriod","RegulatedItemModel.validityPeriod","","","",0,1,"","","","Period {[]} {[]}
","Validity Period","Validity Period","","","","","","","","","",,,,,"",,,,"RegulatedItemModel.validityPeriod",0,1,"",""
